1.000000 -1.000000 -84111722734.172348
1.000000 -0.897436 -83170116003.773010
1.000000 -0.794872 -82227605874.987228
1.000000 -0.692308 -81283564810.100174
1.000000 -0.589744 -80337511823.070374
1.000000 -0.487179 -79389053573.504898
1.000000 -0.384615 -78437827228.249268
1.000000 -0.282051 -77483445562.979706
1.000000 -0.179487 -76525445083.707321
1.000000 -0.076923 -75563238213.175095
1.000000 0.025641 -74596070791.528763
1.000000 0.128205 -73622986261.607758
1.000000 0.230769 -72642797922.862747
1.000000 0.333333 -71654070521.915405
1.000000 0.435897 -70655112186.870224
1.000000 0.538462 -69643977302.408066
1.000000 0.641026 -68618480375.488403
1.000000 0.743590 -67576220287.658493
1.000000 0.846154 -66514613621.229210
1.000000 0.948718 -65430935056.092346
1.000000 1.051282 -64322362255.792580
1.000000 1.153846 -63186022309.879425
1.000000 1.256410 -62019036798.135971
1.000000 1.358974 -60818563000.310295
1.000000 1.461538 -59581829733.321030
1.000000 1.564103 -58306167651.398582
1.000000 1.666667 -56989035268.125824
1.000000 1.769231 -55628042905.708405
1.000000 1.871795 -54220976640.015327
1.000000 1.974359 -52765822794.841431
1.000000 2.076923 -51260791138.869926
1.000000 2.179487 -49704333222.461235
1.000000 2.282051 -48095153566.249077
1.000000 2.384615 -46432217510.843597
1.000000 2.487179 -44714770014.773979
1.000000 2.589744 -42942390513.538528
1.000000 2.692308 -41115113135.786697
1.000000 2.794872 -39233632594.005638
1.000000 2.897436 -37299593068.458244
1.000000 3.000000 -35315928776.432671
2.256410 -1.000000 -63753957499.682961
2.256410 -0.897436 -62664384745.771072
2.256410 -0.794872 -61608645498.314857
2.256410 -0.692308 -60582325198.015770
2.256410 -0.589744 -59580892047.253395
2.256410 -0.487179 -58599804247.250961
2.256410 -0.384615 -57634619286.339691
2.256410 -0.282051 -56681095420.261734
2.256410 -0.179487 -55735277418.644722
2.256410 -0.076923 -54793560826.074898
2.256410 0.025641 -53852731237.410118
2.256410 0.128205 -52909977184.592400
2.256410 0.230769 -51962877011.385185
2.256410 0.333333 -51009361586.395172
2.256410 0.435897 -50047656091.032677
2.256410 0.538462 -49076205724.017624
2.256410 0.641026 -48093592133.299339
2.256410 0.743590 -47098449427.210823
2.256410 0.846154 -46089389872.022308
2.256410 0.948718 -45064948644.394440
2.256410 1.051282 -44023553316.183006
2.256410 1.153846 -42963517205.735695
2.256410 1.256410 -41883048070.614098
2.256410 1.358974 -40780258070.636314
2.256410 1.461538 -39653161086.380096
2.256410 1.564103 -38499651417.590820
